Africa,Northern Africa,Egypt,CTS,,,, 471 , 322 , 522 , 549 , 680 , 967 , 912 ," 1,839 "," 2,703 "," 2,207 ",,,,,,,,, 0.6 , 0.4 , 0.7 , 0.7 , 0.9 , 1.2 , 1.1 , 2.2 , 3.1 , 2.5 ,,,,
Africa,Northern Africa,Libya,WHO Estimate, 198 ,,,,, 212 ,,,,, 192 ,,,,, 156 ,,, 3.7 ,,,,, 3.7 ,,,,, 3.1 ,,,,, 2.5 ,
Africa,Northern Africa,Morocco,UNSDC/CTS, 461 , 543 , 462 , 510 , 470 , 469 , 498 , 517 , 426 , 432 , 451 , 441 , 383 , 429 , 355 , 431 ,,, 1.6 , 1.9 , 1.6 , 1.7 , 1.6 , 1.5 , 1.6 , 1.7 , 1.3 , 1.4 , 1.4 , 1.3 , 1.1 , 1.3 , 1.0 , 1.2 ,
Africa,Northern Africa,Sudan,CTS,,,,,,,," 1,511 "," 1,702 ",,,,,,,,,,,,,,,,, 4.7 , 5.2 ,,,,,,,,
Africa,Northern Africa,Tunisia,WHO,,,,, 195 , 260 , 249 , 273 , 280 , 255 , 286 ,, 332 ,,,,,,,,,, 1.9 , 2.6 , 2.4 , 2.7 , 2.7 , 2.4 , 2.7 ,, 3.0 ,,,,
Africa,Southern Africa,Botswana,WHO,, 213 , 255 , 312 , 259 , 291 , 261 , 280 , 281 , 289 , 303 ,,,,,,,,, 12.1 , 14.3 , 17.3 , 14.2 , 15.7 , 13.9 , 14.6 , 14.4 , 14.6 , 15.0 ,,,,,,
Africa,Southern Africa,Lesotho,CTS/NSO,,,,,,,, 895 , 752 , 723 , 764 , 712 , 641 , 658 ,, 897 ,,,,,,,,,, 45.1 , 37.6 , 35.8 , 37.4 , 34.5 , 30.7 , 31.1 ,, 41.2 ,
Africa,Southern Africa,Namibia,NP/INTP, 380 , 353 , 346 ,, 352 ,,,, 354 , 388 , 314 , 308 , 388 ,,,,,, 20.0 , 18.3 , 17.6 ,, 17.5 ,,,, 16.8 , 18.2 , 14.4 , 13.9 , 17.1 ,,,,
Africa,Southern Africa,South Africa,NP," 21,758 "," 21,405 "," 21,553 "," 19,824 "," 18,793 "," 18,528 "," 19,106 "," 18,400 "," 18,084 "," 16,767 "," 15,893 "," 15,554 "," 16,213 "," 17,023 "," 17,805 "," 18,673 "," 19,016 ",, 47.6 , 46.1 , 45.8 , 41.6 , 39.0 , 38.0 , 38.7 , 36.9 , 35.9 , 32.9 , 30.8 , 29.8 , 30.6 , 31.7 , 32.6 , 33.8 , 34.0 
Africa,Southern Africa,Swaziland,WHO,, 202 , 140 , 144 , 146 , 152 , 121 , 170 , 217 , 187 , 208 ,,,,,,,,, 18.8 , 13.0 , 13.2 , 13.3 , 13.7 , 10.8 , 14.9 , 18.7 , 15.8 , 17.3 ,,,,,,
Africa,Western Africa,Benin,WHO Estimate, 502 ,,,,, 574 ,,,,, 604 ,,,,, 654 ,,, 7.3 ,,,,, 7.2 ,,,,, 6.6 ,,,,, 6.2 ,
Africa,Western Africa,Burkina Faso,NSO,,, 78 , 81 , 78 , 63 , 69 , 94 , 108 , 77 , 93 , 82 , 84 , 122 , 138 , 67 ,,,,, 0.6 , 0.6 , 0.6 , 0.5 , 0.5 , 0.7 , 0.7 , 0.5 , 0.6 , 0.5 , 0.5 , 0.7 , 0.8 , 0.4 ,
Africa,Western Africa,Cabo Verde,NP/CTS,,,, 15 , 21 , 44 , 35 , 29 , 34 , 38 , 39 , 53 , 56 , 54 , 65 , 46 , 62 ,,,,, 3.3 , 4.5 , 9.3 , 7.3 , 6.0 , 6.9 , 7.6 , 7.8 , 10.4 , 10.9 , 10.4 , 12.3 , 8.6 , 11.5 
Africa,Western Africa,Côte d'Ivoire,WHO Estimate," 2,681 ",,,,," 2,696 ",,,,," 2,576 ",,,,," 2,688 ",,, 16.1 ,,,,, 14.7 ,,,,, 12.6 ,,,,, 11.6 ,
Africa,Western Africa,Gambia,WHO Estimate, 153 ,,,,, 142 ,,,,, 166 ,,,,, 181 ,,, 12.4 ,,,,, 9.8 ,,,,, 9.8 ,,,,, 9.1 ,
Africa,Western Africa,Ghana,WHO,, 433 , 401 , 436 , 452 , 393 , 412 , 399 , 430 , 427 , 422 , 423 ,,,,,,,, 2.2 , 2.0 , 2.1 , 2.2 , 1.8 , 1.9 , 1.8 , 1.8 , 1.8 , 1.7 , 1.7 ,,,,,
